type,n,k,q,s,Average visited nodes,Variance
standard,700,7,200,5,38.63,227.993
standard,700,10,10,1,507.6,5438.64
standard,700,10,10,2,325.3,3627.21
standard,700,10,10,3,189.5,1678.25
standard,700,10,10,4,130.9,2616.49
standard,700,10,10,5,100.8,2375.36
standard,700,10,15,1,480.867,9350.25
standard,700,10,15,2,307.4,12035.8
standard,700,10,15,3,216.133,3616.52
standard,700,10,15,4,148.667,4035.69
standard,700,10,15,5,91,2639.73
standard,700,10,20,1,477.95,9374.35
standard,700,10,20,2,312.3,9057.81
standard,700,10,20,3,195.5,7485.55
standard,700,10,20,4,150.95,3027.75
standard,700,10,20,5,92.4,1552.74
standard,700,10,25,1,402.72,19454.8
standard,700,10,25,2,334.64,7217.51
standard,700,10,25,3,224.04,3251.4
standard,700,10,25,4,140.72,2909.88
standard,700,10,25,5,87.88,952.186
standard,700,10,30,1,476.367,11711.1
standard,700,10,30,2,329.033,10315.3
standard,700,10,30,3,221,3241.07
standard,700,10,30,4,152.367,2982.43
standard,700,10,30,5,98.4333,1670.71
standard,700,10,35,1,458.486,7438.54
standard,700,10,35,2,302.4,11724.3
standard,700,10,35,3,221.714,7321.98
standard,700,10,35,4,166.629,4529.09
standard,700,10,35,5,90.3714,1658.23
standard,700,10,50,1,461.44,9469.89
standard,700,10,50,2,316.88,8118.23
standard,700,10,50,3,232.48,5871.97
standard,700,10,50,4,134.16,1943.41
standard,700,10,50,5,83.06,1064.66
standard,700,10,100,1,477.47,10443.7
standard,700,10,100,2,317.63,7903.67
standard,700,10,100,3,201.67,5711.52
standard,700,10,100,4,133.5,2890.55
standard,700,10,100,5,92.53,1685.23
standard,700,10,200,1,460.68,8657.79
standard,700,10,200,2,321.425,9545.85
standard,700,10,200,3,219.06,5468.5
standard,700,10,200,4,137.625,2982.43
standard,700,10,200,5,89.45,1236.72
standard,700,15,10,1,539.8,8211.36
standard,700,15,10,2,425.4,12554.8
standard,700,15,10,3,338.2,11952.8
standard,700,15,10,4,263,9641
standard,700,15,10,5,188.4,7631.84
standard,700,15,15,1,586.6,10204.1
standard,700,15,15,2,396.8,18979.9
standard,700,15,15,3,282.867,10952.9
standard,700,15,15,4,238.667,4096.22
standard,700,15,15,5,174.133,3623.98
standard,700,15,20,1,558.4,3814.04
standard,700,15,20,2,432.35,17462.3
standard,700,15,20,3,358,8850.2
standard,700,15,20,4,213.75,11333.3
standard,700,15,20,5,181.2,5743.26
standard,700,15,25,1,534.96,14979.3
standard,700,15,25,2,418.76,10397.2
standard,700,15,25,3,319,11186.4
standard,700,15,25,4,239.92,6745.91
standard,700,15,25,5,210.44,8286.25
standard,700,15,30,1,495.333,15783.4
standard,700,15,30,2,425.033,10303.1
standard,700,15,30,3,335,9914.93
standard,700,15,30,4,265.6,7499.17
standard,700,15,30,5,170.4,6268.71
standard,700,15,35,1,536.057,17133.4
standard,700,15,35,2,432.457,14409.1
standard,700,15,35,3,316.714,12584.7
standard,700,15,35,4,240.4,9593.33
standard,700,15,35,5,184.486,4983.91
standard,700,15,50,1,528.44,14670.5
standard,700,15,50,2,430.52,10497.4
standard,700,15,50,3,352,14962.4
standard,700,15,50,4,242.62,8316.12
standard,700,15,50,5,190,4876.36
standard,700,15,100,1,533.23,15453
standard,700,15,100,2,415.15,12360.3
standard,700,15,100,3,326.71,10231.8
standard,700,15,100,4,243.28,9846.58
standard,700,15,100,5,178.71,6064.87
standard,700,15,200,1,549.69,10524.6
standard,700,15,200,2,416.185,12220
standard,700,15,200,3,315.18,12137.4
standard,700,15,200,4,239.485,10009.5
standard,700,15,200,5,183.585,6075.68
standard,700,20,10,1,563.6,6035.84
standard,700,20,10,2,483.7,22300.4
standard,700,20,10,3,434.6,15329.2
standard,700,20,10,4,372.6,22599.8
standard,700,20,10,5,290.2,5678.16
standard,700,20,15,1,555.2,9940.16
standard,700,20,15,2,513.067,14145.7
standard,700,20,15,3,436.6,13350.9
standard,700,20,15,4,325.533,23495
standard,700,20,15,5,262.667,13471.3
standard,700,20,20,1,604.35,17140
standard,700,20,20,2,508.5,18001.8
standard,700,20,20,3,394.85,13278.1
standard,700,20,20,4,283.5,8793.85
standard,700,20,20,5,259.75,11890.8
standard,700,20,25,1,610.88,9328.27
standard,700,20,25,2,477.28,14628.8
standard,700,20,25,3,411.48,15268
standard,700,20,25,4,296.96,22024
standard,700,20,25,5,287.96,16153.5
standard,700,20,30,1,586.067,13133.6
standard,700,20,30,2,448.867,9102.72
standard,700,20,30,3,342,15043.7
standard,700,20,30,4,306.9,17279.1
standard,700,20,30,5,284.933,10957.1
standard,700,20,35,1,580.8,12350.7
standard,700,20,35,2,462.257,20728.5
standard,700,20,35,3,421.943,11285.1
standard,700,20,35,4,292.743,17373.6
standard,700,20,35,5,243.714,12648.8
standard,700,20,50,1,621.52,7349.81
standard,700,20,50,2,488.04,17189.7
standard,700,20,50,3,393.76,17273.5
standard,700,20,50,4,314.04,15462.8
standard,700,20,50,5,269.46,13271.7
standard,700,20,100,1,596.49,7090.39
standard,700,20,100,2,488.21,17814.7
standard,700,20,100,3,388.51,18481.3
standard,700,20,100,4,335.43,16759.6
standard,700,20,100,5,265.42,18118.2
standard,700,20,200,1,584.9,11934.4
standard,700,20,200,2,487.43,18927.1
standard,700,20,200,3,374.37,20281.7
standard,700,20,200,4,326.49,17380.7
standard,700,20,200,5,262.89,11842.9
standard,700,25,10,1,534.7,9726.61
standard,700,25,10,2,496.6,15372.2
standard,700,25,10,3,481,27088
standard,700,25,10,4,403.4,22599
standard,700,25,10,5,301.9,12582.5
standard,700,25,15,1,625.933,6880.2
standard,700,25,15,2,478.2,25099.9
standard,700,25,15,3,437.533,32675.7
standard,700,25,15,4,378.067,23803.4
standard,700,25,15,5,315.4,27924
standard,700,25,20,1,605.25,10212
standard,700,25,20,2,503.1,18958.9
standard,700,25,20,3,380.8,17970.2
standard,700,25,20,4,386.25,9556.59
standard,700,25,20,5,333.25,29363.8
standard,700,25,25,1,635.16,8840.93
standard,700,25,25,2,504.36,16869
standard,700,25,25,3,441.32,19558.3
standard,700,25,25,4,435,8458.4
standard,700,25,25,5,350.44,21867.6
standard,700,25,30,1,636.567,7763.25
standard,700,25,30,2,522.967,18758.9
standard,700,25,30,3,406.2,20917.7
standard,700,25,30,4,344,16917.7
standard,700,25,30,5,313.6,21729.3
standard,700,25,35,1,613.6,11874.6
standard,700,25,35,2,472.286,23413.9
standard,700,25,35,3,462.229,14026.6
standard,700,25,35,4,352.114,24382.8
standard,700,25,35,5,357.143,21278
standard,700,25,50,1,596.46,15181.2
standard,700,25,50,2,532.92,19303.2
standard,700,25,50,3,446.06,18831.7
standard,700,25,50,4,374.66,16188.7
standard,700,25,50,5,304.66,21636.7
standard,700,25,100,1,627.25,8202.35
standard,700,25,100,2,504.09,18036
standard,700,25,100,3,442.09,20875.8
standard,700,25,100,4,388.05,18948.3
standard,700,25,100,5,319.08,20438.6
standard,700,25,200,1,609.37,11335.5
standard,700,25,200,2,550.715,13853.2
standard,700,25,200,3,458.05,20083
standard,700,25,200,4,395.105,17949.3
standard,700,25,200,5,338.405,17109.7
standard,1000,2,10,1,134.5,4353.65
standard,1000,2,10,2,12.9,9.89
standard,1000,2,15,1,100.533,763.449
standard,1000,2,15,2,13,5.6
standard,1000,2,20,1,143.55,1707.25
standard,1000,2,20,2,14.3,10.61
standard,1000,2,25,1,93.96,1235
standard,1000,2,25,2,12.68,4.9376
standard,1000,2,30,1,116.833,1249.61
standard,1000,2,30,2,11.7333,5.79556
standard,1000,2,35,1,105.657,781.54
standard,1000,2,35,2,13.1429,13.0367
standard,1000,2,50,1,117.42,1684
standard,1000,2,50,2,12.44,9.8064
standard,1000,2,100,1,103.47,1596.89
standard,1000,2,100,2,12.73,9.4771
standard,1000,2,200,1,107.595,813.581
standard,1000,2,200,2,13.605,12.259
standard,1000,3,10,1,345.3,511.01
standard,1000,3,10,2,57,359
standard,1000,3,10,3,13,18.8
standard,1000,3,15,1,202.867,2857.32
standard,1000,3,15,2,49.6,260.64
standard,1000,3,15,3,14.1333,12.5156
standard,1000,3,20,1,267.65,5369.23
standard,1000,3,20,2,56.95,757.848
standard,1000,3,20,3,13.4,3.24
standard,1000,3,25,1,213.4,5629.92
standard,1000,3,25,2,46.24,792.742
standard,1000,3,25,3,12.48,6.4896
standard,1000,3,30,1,242.333,6142.82
standard,1000,3,30,2,56,638.733
standard,1000,3,30,3,10.8,6.42667
standard,1000,3,35,1,241.371,2736.12
standard,1000,3,35,2,50.4571,403.791
standard,1000,3,35,3,13.2286,6.46204
standard,1000,3,50,1,252.3,5068.37
standard,1000,3,50,2,49.1,217.21
standard,1000,3,50,3,12.88,7.3856
standard,1000,3,100,1,210.65,4069.35
standard,1000,3,100,2,51.36,320.81
standard,1000,3,100,3,14.08,12.9536
standard,1000,3,200,1,223.99,3749.28
standard,1000,3,200,2,57.05,857.578
standard,1000,3,200,3,11.885,9.05177
standard,1000,5,10,1,474.5,12880.6
standard,1000,5,10,2,189.5,5096.85
standard,1000,5,10,3,57.1,856.69
standard,1000,5,10,4,24.3,70.01
standard,1000,5,10,5,12.6,12.24
standard,1000,5,15,1,408.4,10064.1
standard,1000,5,15,2,166.2,3594.16
standard,1000,5,15,3,63.6,243.707
standard,1000,5,15,4,33.9333,190.329
standard,1000,5,15,5,12.6667,6.08889
standard,1000,5,20,1,388,18281.4
standard,1000,5,20,2,206.95,5277.15
standard,1000,5,20,3,65.85,985.327
standard,1000,5,20,4,27.65,86.1275
standard,1000,5,20,5,12.15,6.3275
standard,1000,5,25,1,403.52,13020.2
standard,1000,5,25,2,181.76,2447.38
standard,1000,5,25,3,72.48,726.97
standard,1000,5,25,4,26.84,107.574
standard,1000,5,25,5,12.4,8
standard,1000,5,30,1,384.467,10436.4
standard,1000,5,30,2,175.533,3354.12
standard,1000,5,30,3,78.1,706.29
standard,1000,5,30,4,30.3333,114.222
standard,1000,5,30,5,11.8,6.89333
standard,1000,5,35,1,422.286,9538.55
standard,1000,5,35,2,155.171,4314.94
standard,1000,5,35,3,66.2571,903.448
standard,1000,5,35,4,36.2,146.274
standard,1000,5,35,5,13.5714,7.67347
standard,1000,5,50,1,437.02,14750
standard,1000,5,50,2,177.88,3343.07
standard,1000,5,50,3,77.58,750.204
standard,1000,5,50,4,31.88,82.5456
standard,1000,5,50,5,11.86,8.9604
standard,1000,5,100,1,444.04,14814.3
standard,1000,5,100,2,177.77,4858.38
standard,1000,5,100,3,82.44,1182.73
standard,1000,5,100,4,29.72,71.0816
standard,1000,5,100,5,12.2,9.66
standard,1000,5,200,1,435.59,21482.5
standard,1000,5,200,2,161.345,3895.54
standard,1000,5,200,3,72.08,1000.41
standard,1000,5,200,4,27.35,117.277
standard,1000,5,200,5,12.335,8.39278
standard,1000,7,10,1,527.6,25384.8
standard,1000,7,10,2,287.4,9770.84
standard,1000,7,10,3,143.8,3279.56
standard,1000,7,10,4,75.8,835.16
standard,1000,7,10,5,40.3,235.61
standard,1000,7,15,1,494.933,32928.5
standard,1000,7,15,2,302.333,3190.49
standard,1000,7,15,3,156.067,1010.33
standard,1000,7,15,4,78.7333,1348.06
standard,1000,7,15,5,41.6667,140.622
standard,1000,7,20,1,575.2,10303.1
standard,1000,7,20,2,295.8,9427.26
standard,1000,7,20,3,159.25,2471.29
standard,1000,7,20,4,78.3,887.21
standard,1000,7,20,5,51.1,255.19
standard,1000,7,25,1,578.12,12091.8
standard,1000,7,25,2,267.4,6016.72
standard,1000,7,25,3,155.48,4469.45
standard,1000,7,25,4,72.04,643.958
standard,1000,7,25,5,41.4,172.56
standard,1000,7,30,1,532.667,13018.9
standard,1000,7,30,2,291.7,10140.9
standard,1000,7,30,3,149.133,3247.38
standard,1000,7,30,4,83.1,1076.16
standard,1000,7,30,5,45.4,370.907
standard,1000,7,35,1,559.057,16012
standard,1000,7,35,2,292.2,8205.99
standard,1000,7,35,3,132.914,4453.68
standard,1000,7,35,4,86.3429,951.082
standard,1000,7,35,5,47.2,477.074
standard,1000,7,50,1,565.58,10249.2
standard,1000,7,50,2,289.22,8321.29
standard,1000,7,50,3,131.58,2199.6
standard,1000,7,50,4,84.92,1140.47
standard,1000,7,50,5,38.34,186.184
standard,1000,7,100,1,521.05,19900.6
standard,1000,7,100,2,298.87,10277.6
standard,1000,7,100,3,152.65,4180.43
standard,1000,7,100,4,83.17,1073.54
standard,1000,7,100,5,39.5,182.67
standard,1000,7,200,1,554.92,19136.4
standard,1000,7,200,2,293.625,10592.5
standard,1000,7,200,3,149.96,2967.76
standard,1000,7,200,4,81.57,984.465
standard,1000,7,200,5,40.59,264.172
standard,1000,10,10,1,620.4,24051.8
standard,1000,10,10,2,451.8,16700.2
standard,1000,10,10,3,311.5,2318.65
standard,1000,10,10,4,167.4,6188.04
standard,1000,10,10,5,116.3,360.41
standard,1000,10,15,1,638.533,16132.5
standard,1000,10,15,2,363.267,23131.5
standard,1000,10,15,3,298.267,8322.2
standard,1000,10,15,4,176.667,5474.76
standard,1000,10,15,5,99.2667,1656.46
standard,1000,10,20,1,680.75,12777.3
standard,1000,10,20,2,445.8,22067.7
standard,1000,10,20,3,276.8,9227.56
standard,1000,10,20,4,170.2,4782.36
standard,1000,10,20,5,113.6,1157.34
standard,1000,10,25,1,660.56,17084.9
standard,1000,10,25,2,443.56,11447.4
standard,1000,10,25,3,259.92,7462.79
standard,1000,10,25,4,168.04,3456.44
standard,1000,10,25,5,119.28,2750.04
standard,1000,10,30,1,648.9,20681.3
standard,1000,10,30,2,422.5,10165.4
standard,1000,10,30,3,295.267,7071.13
standard,1000,10,30,4,174.8,5681.63
standard,1000,10,30,5,102.467,2283.52
standard,1000,10,35,1,668.914,17151.6
standard,1000,10,35,2,399.4,9726.47
standard,1000,10,35,3,234.629,11390.4
standard,1000,10,35,4,155.257,4591.68
standard,1000,10,35,5,99.2286,1787.78
standard,1000,10,50,1,629.42,22559
standard,1000,10,50,2,437.6,13484
standard,1000,10,50,3,268.9,9573.65
standard,1000,10,50,4,179.38,3546
standard,1000,10,50,5,113,3449.16
standard,1000,10,100,1,646.96,17522.6
standard,1000,10,100,2,416.74,16887.6
standard,1000,10,100,3,276.49,10021.6
standard,1000,10,100,4,195.07,4986.13
standard,1000,10,100,5,102.78,2623.91
standard,1000,10,200,1,659.175,16386.9
standard,1000,10,200,2,408.58,19085.4
standard,1000,10,200,3,270.065,9273.7
standard,1000,10,200,4,175.6,5245.82
standard,1000,10,200,5,103.52,1783.53
standard,1000,15,10,1,750.6,24983
standard,1000,15,10,2,458.7,16277.4
standard,1000,15,10,3,468.4,27674.4
standard,1000,15,10,4,357.3,17217
standard,1000,15,10,5,242.6,8642.84
standard,1000,15,15,1,758.6,41852.4
standard,1000,15,15,2,617.2,20023.8
standard,1000,15,15,3,450.333,13242.4
standard,1000,15,15,4,309.267,6158.06
standard,1000,15,15,5,265.267,19817.1
standard,1000,15,20,1,682.15,12164.1
standard,1000,15,20,2,528.95,30251.5
standard,1000,15,20,3,429.95,29154.9
standard,1000,15,20,4,344.25,19808.3
standard,1000,15,20,5,217.7,12396.7
standard,1000,15,25,1,729.48,25431
standard,1000,15,25,2,529.04,25752.8
standard,1000,15,25,3,426.72,22729.8
standard,1000,15,25,4,306.36,14749
standard,1000,15,25,5,260.92,6182.39
standard,1000,15,30,1,806.667,14786.4
standard,1000,15,30,2,594,21458.4
standard,1000,15,30,3,464.733,19252.1
standard,1000,15,30,4,301.133,12549.2
standard,1000,15,30,5,298.033,8226.43
standard,1000,15,35,1,719.743,26388.5
standard,1000,15,35,2,544.257,34377.6
standard,1000,15,35,3,416.657,19882.7
standard,1000,15,35,4,304.086,13149.3
standard,1000,15,35,5,226.114,13889.1
standard,1000,15,50,1,766.44,30608.1
standard,1000,15,50,2,584.3,32195.5
standard,1000,15,50,3,451.5,14575.4
standard,1000,15,50,4,343.76,10709.2
standard,1000,15,50,5,277.98,10000.3
standard,1000,15,100,1,724.7,22983.4
standard,1000,15,100,2,561.82,25056.3
standard,1000,15,100,3,418.92,19197.9
standard,1000,15,100,4,339.24,18608.6
standard,1000,15,100,5,248.28,10173.3
standard,1000,15,200,1,739.975,25796.7
standard,1000,15,200,2,555.65,32729.6
standard,1000,15,200,3,415.34,21370.1
standard,1000,15,200,4,313.725,15318.8
standard,1000,15,200,5,252.67,12265.8
standard,1000,20,10,1,873.6,14822.4
standard,1000,20,10,2,633.8,46306.2
standard,1000,20,10,3,555.4,13325.4
standard,1000,20,10,4,420.2,38980
standard,1000,20,10,5,409.9,13364.1
standard,1000,20,15,1,751.467,22233.6
standard,1000,20,15,2,694.267,22686.2
standard,1000,20,15,3,536.2,26066.4
standard,1000,20,15,4,457.333,19563.6
standard,1000,20,15,5,397,24554.4
standard,1000,20,20,1,870.75,21848.7
standard,1000,20,20,2,718.8,20835.7
standard,1000,20,20,3,618.15,33775.6
standard,1000,20,20,4,500.6,35705.7
standard,1000,20,20,5,296.6,17673.7
standard,1000,20,25,1,869.68,16964.2
standard,1000,20,25,2,713.28,41964.9
standard,1000,20,25,3,501.24,35958.9
standard,1000,20,25,4,454.56,23251
standard,1000,20,25,5,358.96,43749.9
standard,1000,20,30,1,771.933,41849.7
standard,1000,20,30,2,668.833,21149.4
standard,1000,20,30,3,571.3,28145.7
standard,1000,20,30,4,419.833,34528.7
standard,1000,20,30,5,338.633,19224.5
standard,1000,20,35,1,870.343,14298.9
standard,1000,20,35,2,649.771,35334.9
standard,1000,20,35,3,585.2,44067.2
standard,1000,20,35,4,444.829,23217.9
standard,1000,20,35,5,368,16371.6
standard,1000,20,50,1,834.54,18731.9
standard,1000,20,50,2,649.56,30586.3
standard,1000,20,50,3,558.46,45368.1
standard,1000,20,50,4,400.66,24652.9
standard,1000,20,50,5,369.34,19488.7
standard,1000,20,100,1,814.54,28708.3
standard,1000,20,100,2,668.09,43570.9
standard,1000,20,100,3,532.32,30621.4
standard,1000,20,100,4,466.47,41276.6
standard,1000,20,100,5,357.98,27738.1
standard,1000,20,200,1,791.845,30726.2
standard,1000,20,200,2,669.4,36773.5
standard,1000,20,200,3,553.69,28405.5
standard,1000,20,200,4,439.575,31402.5
standard,1000,20,200,5,366.655,19728.5
standard,1000,25,10,1,871.1,13747.9
standard,1000,25,10,2,691.6,41844
standard,1000,25,10,3,646.7,38796.2
standard,1000,25,10,4,519.1,11747.3
standard,1000,25,10,5,431.8,11202.6
standard,1000,25,15,1,760.2,31160.6
standard,1000,25,15,2,685.267,54091.7
standard,1000,25,15,3,688.733,67994.6
standard,1000,25,15,4,572.8,24365
standard,1000,25,15,5,414.067,14290.6
standard,1000,25,20,1,817.85,23997.1
standard,1000,25,20,2,725.4,38096
standard,1000,25,20,3,647.85,27136.1
standard,1000,25,20,4,573.15,61836.6
standard,1000,25,20,5,447.75,28490.2
standard,1000,25,25,1,849.56,21429.7
standard,1000,25,25,2,732.12,55258.3
standard,1000,25,25,3,682.52,50880.9
standard,1000,25,25,4,514.6,43146.2
standard,1000,25,25,5,435.96,26080
standard,1000,25,30,1,875.2,18215.2
standard,1000,25,30,2,702.367,37144.5
standard,1000,25,30,3,634.9,30981.4
standard,1000,25,30,4,544,38320.9
standard,1000,25,30,5,453.7,51795.9
standard,1000,25,35,1,872.2,30922.3
standard,1000,25,35,2,742.171,43173.6
standard,1000,25,35,3,665.886,43329.2
standard,1000,25,35,4,518.057,38673.4
standard,1000,25,35,5,457.486,46995
standard,1000,25,50,1,834.78,30629.8
standard,1000,25,50,2,747.42,31675.6
standard,1000,25,50,3,668.38,34215.3
standard,1000,25,50,4,515.82,30981.2
standard,1000,25,50,5,414.26,32452.3
standard,1000,25,100,1,856,30079.1
standard,1000,25,100,2,707.17,48710.3
standard,1000,25,100,3,617.77,46194.7
standard,1000,25,100,4,506.88,37565.7
standard,1000,25,100,5,419.02,39784.9
standard,1000,25,200,1,860.43,24658.2
standard,1000,25,200,2,741.665,36933.3
standard,1000,25,200,3,593.27,38935.8
standard,1000,25,200,4,511.625,43499.6
standard,1000,25,200,5,435.335,37064.7
standard,2000,2,10,1,231.3,2133.21
standard,2000,2,10,2,14.9,13.09
standard,2000,2,15,1,162.6,7143.71
standard,2000,2,15,2,13.2,17.0933
standard,2000,2,20,1,134.75,904.688
standard,2000,2,20,2,13.85,8.8275
standard,2000,2,25,1,155.04,4807.72
standard,2000,2,25,2,15.52,9.8496
standard,2000,2,30,1,162.6,2782.97
standard,2000,2,30,2,14.9333,11.7289
standard,2000,2,35,1,150.8,2735.93
standard,2000,2,35,2,15.3429,8.22531
standard,2000,2,50,1,156,2327.48
standard,2000,2,50,2,14.86,12.8004
standard,2000,2,100,1,149.44,1868.63
standard,2000,2,100,2,13.96,14.6584
standard,2000,2,200,1,148.59,2294.73
standard,2000,2,200,2,14.745,14.08
standard,2000,3,10,1,400.2,20548.6
standard,2000,3,10,2,68.3,891.01
standard,2000,3,10,3,14.8,11.36
standard,2000,3,15,1,342.133,16300.8
standard,2000,3,15,2,69.5333,385.716
standard,2000,3,15,3,14.2667,14.9956
standard,2000,3,20,1,385.75,20096.2
standard,2000,3,20,2,66.85,755.327
standard,2000,3,20,3,14.35,10.5275
standard,2000,3,25,1,341.88,16917.1
standard,2000,3,25,2,60.32,413.178
standard,2000,3,25,3,14.28,12.6016
standard,2000,3,30,1,374.733,38811.7
standard,2000,3,30,2,56.9667,410.566
standard,2000,3,30,3,13.8,12.96
standard,2000,3,35,1,363.257,15874.9
standard,2000,3,35,2,68.1143,383.53
standard,2000,3,35,3,13.8857,6.61551
standard,2000,3,50,1,357.18,27407.4
standard,2000,3,50,2,66.9,641.41
standard,2000,3,50,3,14,10.8
standard,2000,3,100,1,388.91,34276.4
standard,2000,3,100,2,66.59,616.222
standard,2000,3,100,3,14.66,13.3844
standard,2000,3,200,1,368.63,15321.9
standard,2000,3,200,2,69.3,715.98
standard,2000,3,200,3,14.33,12.2411
standard,2000,5,10,1,701.4,20849.8
standard,2000,5,10,2,277.1,12557.7
standard,2000,5,10,3,96.8,764.96
standard,2000,5,10,4,42.1,176.49
standard,2000,5,10,5,16.3,10.01
standard,2000,5,15,1,755.2,57424.2
standard,2000,5,15,2,269.6,13119.7
standard,2000,5,15,3,91.8,596.16
standard,2000,5,15,4,34.6667,140.089
standard,2000,5,15,5,13.2667,5.92889
standard,2000,5,20,1,721.05,24267.3
standard,2000,5,20,2,246.15,11002.5
standard,2000,5,20,3,100.95,2299.85
standard,2000,5,20,4,43.1,341.39
standard,2000,5,20,5,15.2,11.06
standard,2000,5,25,1,848.12,36218.8
standard,2000,5,25,2,242.08,11706.9
standard,2000,5,25,3,106,999.28
standard,2000,5,25,4,32.16,113.974
standard,2000,5,25,5,15.4,21.44
standard,2000,5,30,1,733.467,43709.3
standard,2000,5,30,2,288.8,11927.5
standard,2000,5,30,3,100.633,1879.57
standard,2000,5,30,4,36.3667,138.032
standard,2000,5,30,5,14.1333,7.78222
standard,2000,5,35,1,709.8,49565.1
standard,2000,5,35,2,257.857,8577.95
standard,2000,5,35,3,88.7714,1208.35
standard,2000,5,35,4,38.3143,181.416
standard,2000,5,35,5,12.9143,7.0498
standard,2000,5,50,1,730.94,38815.7
standard,2000,5,50,2,270.5,17216.8
standard,2000,5,50,3,100.36,2433.31
standard,2000,5,50,4,42.06,234.216
standard,2000,5,50,5,15.38,15.2356
standard,2000,5,100,1,754.41,49660.1
standard,2000,5,100,2,254.05,11242.2
standard,2000,5,100,3,107.42,1725.98
standard,2000,5,100,4,37.43,163.885
standard,2000,5,100,5,14.73,15.6771
standard,2000,5,200,1,743.605,29461
standard,2000,5,200,2,312.855,12701.7
standard,2000,5,200,3,93.63,1545.76
standard,2000,5,200,4,32.875,116.359
standard,2000,5,200,5,14.55,10.4275
standard,2000,7,10,1,1062.5,29584.8
standard,2000,7,10,2,532.8,17619.6
standard,2000,7,10,3,237.5,5129.45
standard,2000,7,10,4,88,1040
standard,2000,7,10,5,51.7,161.81
standard,2000,7,15,1,1013.33,66870.1
standard,2000,7,15,2,529.4,44658.9
standard,2000,7,15,3,228.8,11022.8
standard,2000,7,15,4,90.6,1095.71
standard,2000,7,15,5,57.5333,640.116
standard,2000,7,20,1,937.95,103160
standard,2000,7,20,2,458.55,25401.3
standard,2000,7,20,3,264.55,7145.15
standard,2000,7,20,4,90.35,1129.23
standard,2000,7,20,5,47.25,352.587
standard,2000,7,25,1,1006.08,46901
standard,2000,7,25,2,507.48,22906.1
standard,2000,7,25,3,196.24,7248.34
standard,2000,7,25,4,106.76,1420.74
standard,2000,7,25,5,64.64,633.75
standard,2000,7,30,1,960.133,44784
standard,2000,7,30,2,492.2,26564.6
standard,2000,7,30,3,224.1,5166.36
standard,2000,7,30,4,126.8,2268.03
standard,2000,7,30,5,50.0667,531.396
standard,2000,7,35,1,956.171,68730.3
standard,2000,7,35,2,481.943,37398.6
standard,2000,7,35,3,259.257,9146.13
standard,2000,7,35,4,117.629,1687.43
standard,2000,7,35,5,54.2571,446.305
standard,2000,7,50,1,1039,40484.8
standard,2000,7,50,2,457.58,30276
standard,2000,7,50,3,220.14,6565.88
standard,2000,7,50,4,119.16,1750.13
standard,2000,7,50,5,52.62,430.596
standard,2000,7,100,1,977.38,63068.5
standard,2000,7,100,2,478.17,22353.8
standard,2000,7,100,3,255.23,9985.42
standard,2000,7,100,4,116.78,2282.53
standard,2000,7,100,5,50.48,450.35
standard,2000,7,200,1,1037.26,70629.5
standard,2000,7,200,2,466.335,26554.8
standard,2000,7,200,3,240.225,8899.01
standard,2000,7,200,4,115.815,1691.39
standard,2000,7,200,5,53.89,535.478
standard,2000,10,10,1,1257.2,84950.6
standard,2000,10,10,2,712.9,61860.3
standard,2000,10,10,3,337.1,26933.5
standard,2000,10,10,4,333.9,6997.69
standard,2000,10,10,5,177.8,2281.96
standard,2000,10,15,1,1164.13,87705.3
standard,2000,10,15,2,711.8,72177.2
standard,2000,10,15,3,424.333,35434.8
standard,2000,10,15,4,274.133,10648.2
standard,2000,10,15,5,202.6,4595.57
standard,2000,10,20,1,1246.9,51274.6
standard,2000,10,20,2,783.05,45150
standard,2000,10,20,3,422.55,19307
standard,2000,10,20,4,227.5,13535
standard,2000,10,20,5,170.1,4005.89
standard,2000,10,25,1,1153.6,63034
standard,2000,10,25,2,720.84,75235.5
standard,2000,10,25,3,428.2,31486.7
standard,2000,10,25,4,278.84,14716.1
standard,2000,10,25,5,161.64,4712.63
standard,2000,10,30,1,1223.2,100464
standard,2000,10,30,2,698.167,45392.9
standard,2000,10,30,3,441.9,29407.4
standard,2000,10,30,4,261.367,8045.03
standard,2000,10,30,5,163.5,5736.72
standard,2000,10,35,1,1168.29,118664
standard,2000,10,35,2,747.343,52263.6
standard,2000,10,35,3,429.343,37063.7
standard,2000,10,35,4,257.629,10986.5
standard,2000,10,35,5,175.057,7595.25
standard,2000,10,50,1,1311.12,44031.1
standard,2000,10,50,2,797.34,46965.3
standard,2000,10,50,3,484.42,32631
standard,2000,10,50,4,268.78,8964.49
standard,2000,10,50,5,169.2,3083.08
standard,2000,10,100,1,1185.73,83938.1
standard,2000,10,100,2,770.5,63887.6
standard,2000,10,100,3,463.56,26316.4
standard,2000,10,100,4,289.23,12822.7
standard,2000,10,100,5,146.97,3836.19
standard,2000,10,200,1,1219.45,72425.2
standard,2000,10,200,2,730.91,55782.5
standard,2000,10,200,3,464.48,28078.5
standard,2000,10,200,4,262.72,12860.9
standard,2000,10,200,5,155.44,5471
standard,2000,15,10,1,1412.8,106228
standard,2000,15,10,2,1016.4,120022
standard,2000,15,10,3,797.6,30500
standard,2000,15,10,4,500.4,30387.2
standard,2000,15,10,5,269.5,10506.2
standard,2000,15,15,1,1436.93,123306
standard,2000,15,15,2,1009.53,29883.6
